Vehicle Lighting System Analysis Results
==================================================

=== Initial Analysis ===
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Left Turn | Result: desactivated


=== New Monitoring Session === Mon May 12 13:58:04 2025
Light: Left Turn | Result: activated
Light: Left Turn | Result: activated
Light: Left Turn | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Left Turn | Result: activated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Parking Right | Result: activated
Light: Parking Left | Result: activated
Light: Hazard Lights | Result: activated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: activated
Light: Left Turn | Result: activated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Parking Right | Result: activated
Light: Parking Left | Result: activated
Light: Hazard Lights | Result: activated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Hazard Lights | Result: desactivated
